problema_id,nivel,modelo,estrategia,amostra_idx,sucesso_binario,testes_aprovados,total_testes
P01,basico,qwen3,zero-shot,0,1,8,8
P01,basico,qwen3,zero-shot,1,1,8,8
P01,basico,qwen3,zero-shot,2,1,8,8
P01,basico,qwen3,zero-shot,3,1,8,8
P01,basico,qwen3,zero-shot,4,1,8,8
P02,basico,qwen3,zero-shot,0,1,7,7
P02,basico,qwen3,zero-shot,1,1,7,7
P02,basico,qwen3,zero-shot,2,1,7,7
P02,basico,qwen3,zero-shot,3,1,7,7
P02,basico,qwen3,zero-shot,4,1,7,7
P03,basico,qwen3,zero-shot,0,1,6,6
P03,basico,qwen3,zero-shot,1,1,6,6
P03,basico,qwen3,zero-shot,2,1,6,6
P03,basico,qwen3,zero-shot,3,1,6,6
P03,basico,qwen3,zero-shot,4,1,6,6
P04,intermediario,qwen3,zero-shot,0,0,0,0
P04,intermediario,qwen3,zero-shot,1,0,6,7
P04,intermediario,qwen3,zero-shot,2,0,0,7
P04,intermediario,qwen3,zero-shot,3,0,6,7
P04,intermediario,qwen3,zero-shot,4,1,7,7
P05,intermediario,qwen3,zero-shot,0,0,4,5
P05,intermediario,qwen3,zero-shot,1,1,5,5
P05,intermediario,qwen3,zero-shot,2,0,0,0
P05,intermediario,qwen3,zero-shot,3,1,5,5
P05,intermediario,qwen3,zero-shot,4,1,5,5
P06,intermediario,qwen3,zero-shot,0,0,0,0
P06,intermediario,qwen3,zero-shot,1,0,0,0
P06,intermediario,qwen3,zero-shot,2,0,0,0
P06,intermediario,qwen3,zero-shot,3,0,3,6
P06,intermediario,qwen3,zero-shot,4,1,6,6
P07,intermediario,qwen3,zero-shot,0,1,7,7
P07,intermediario,qwen3,zero-shot,1,1,7,7
P07,intermediario,qwen3,zero-shot,2,1,7,7
P07,intermediario,qwen3,zero-shot,3,1,7,7
P07,intermediario,qwen3,zero-shot,4,1,7,7
P08,avancado,qwen3,zero-shot,0,0,6,7
P08,avancado,qwen3,zero-shot,1,0,6,7
P08,avancado,qwen3,zero-shot,2,0,6,7
P08,avancado,qwen3,zero-shot,3,0,0,0
P08,avancado,qwen3,zero-shot,4,0,0,0
P09,avancado,qwen3,zero-shot,0,1,6,6
P09,avancado,qwen3,zero-shot,1,1,6,6
P09,avancado,qwen3,zero-shot,2,1,6,6
P09,avancado,qwen3,zero-shot,3,1,6,6
P09,avancado,qwen3,zero-shot,4,1,6,6
P10,avancado,qwen3,zero-shot,0,1,6,6
P10,avancado,qwen3,zero-shot,1,1,6,6
P10,avancado,qwen3,zero-shot,2,1,6,6
P10,avancado,qwen3,zero-shot,3,1,6,6
P10,avancado,qwen3,zero-shot,4,1,6,6
P01,basico,qwen3,few-shot,0,1,8,8
P01,basico,qwen3,few-shot,1,1,8,8
P01,basico,qwen3,few-shot,2,1,8,8
P01,basico,qwen3,few-shot,3,1,8,8
P01,basico,qwen3,few-shot,4,1,8,8
P02,basico,qwen3,few-shot,0,1,7,7
P02,basico,qwen3,few-shot,1,0,5,7
P02,basico,qwen3,few-shot,2,1,7,7
P02,basico,qwen3,few-shot,3,0,5,7
P02,basico,qwen3,few-shot,4,0,5,7
P03,basico,qwen3,few-shot,0,1,6,6
P03,basico,qwen3,few-shot,1,1,6,6
P03,basico,qwen3,few-shot,2,1,6,6
P03,basico,qwen3,few-shot,3,1,6,6
P03,basico,qwen3,few-shot,4,1,6,6
P04,intermediario,qwen3,few-shot,0,0,0,0
P04,intermediario,qwen3,few-shot,1,0,6,7
P04,intermediario,qwen3,few-shot,2,0,6,7
P04,intermediario,qwen3,few-shot,3,1,7,7
P04,intermediario,qwen3,few-shot,4,1,7,7
P05,intermediario,qwen3,few-shot,0,0,0,0
P05,intermediario,qwen3,few-shot,1,0,0,0
P05,intermediario,qwen3,few-shot,2,0,0,0
P05,intermediario,qwen3,few-shot,3,0,3,5
P05,intermediario,qwen3,few-shot,4,0,0,0
P06,intermediario,qwen3,few-shot,0,0,0,0
P06,intermediario,qwen3,few-shot,1,0,0,0
P06,intermediario,qwen3,few-shot,2,0,0,6
P06,intermediario,qwen3,few-shot,3,0,0,0
P06,intermediario,qwen3,few-shot,4,1,6,6
P07,intermediario,qwen3,few-shot,0,1,7,7
P07,intermediario,qwen3,few-shot,1,1,7,7
P07,intermediario,qwen3,few-shot,2,1,7,7
P07,intermediario,qwen3,few-shot,3,1,7,7
P07,intermediario,qwen3,few-shot,4,1,7,7
P08,avancado,qwen3,few-shot,0,0,6,7
P08,avancado,qwen3,few-shot,1,0,6,7
P08,avancado,qwen3,few-shot,2,0,6,7
P08,avancado,qwen3,few-shot,3,0,6,7
P08,avancado,qwen3,few-shot,4,0,6,7
P09,avancado,qwen3,few-shot,0,1,6,6
P09,avancado,qwen3,few-shot,1,1,6,6
P09,avancado,qwen3,few-shot,2,1,6,6
P09,avancado,qwen3,few-shot,3,1,6,6
P09,avancado,qwen3,few-shot,4,1,6,6
P10,avancado,qwen3,few-shot,0,1,6,6
P10,avancado,qwen3,few-shot,1,1,6,6
P10,avancado,qwen3,few-shot,2,1,6,6
P10,avancado,qwen3,few-shot,3,1,6,6
P10,avancado,qwen3,few-shot,4,1,6,6
P01,basico,gemma4,zero-shot,0,1,8,8
P01,basico,gemma4,zero-shot,1,1,8,8
P01,basico,gemma4,zero-shot,2,1,8,8
P01,basico,gemma4,zero-shot,3,1,8,8
P01,basico,gemma4,zero-shot,4,1,8,8
P02,basico,gemma4,zero-shot,0,1,7,7
P02,basico,gemma4,zero-shot,1,1,7,7
P02,basico,gemma4,zero-shot,2,1,7,7
P02,basico,gemma4,zero-shot,3,1,7,7
P02,basico,gemma4,zero-shot,4,1,7,7
P03,basico,gemma4,zero-shot,0,1,6,6
P03,basico,gemma4,zero-shot,1,1,6,6
P03,basico,gemma4,zero-shot,2,1,6,6
P03,basico,gemma4,zero-shot,3,1,6,6
P03,basico,gemma4,zero-shot,4,1,6,6
P04,intermediario,gemma4,zero-shot,0,0,4,7
P04,intermediario,gemma4,zero-shot,1,0,1,7
P04,intermediario,gemma4,zero-shot,2,0,4,7
P04,intermediario,gemma4,zero-shot,3,0,0,0
P04,intermediario,gemma4,zero-shot,4,0,0,7
P05,intermediario,gemma4,zero-shot,0,0,0,5
P05,intermediario,gemma4,zero-shot,1,0,0,0
P05,intermediario,gemma4,zero-shot,2,0,1,5
P05,intermediario,gemma4,zero-shot,3,0,1,5
P05,intermediario,gemma4,zero-shot,4,0,1,5
P06,intermediario,gemma4,zero-shot,0,0,0,0
P06,intermediario,gemma4,zero-shot,1,0,2,6
P06,intermediario,gemma4,zero-shot,2,0,0,6
P06,intermediario,gemma4,zero-shot,3,0,0,0
P06,intermediario,gemma4,zero-shot,4,0,0,0
P07,intermediario,gemma4,zero-shot,0,1,7,7
P07,intermediario,gemma4,zero-shot,1,1,7,7
P07,intermediario,gemma4,zero-shot,2,1,7,7
P07,intermediario,gemma4,zero-shot,3,1,7,7
P07,intermediario,gemma4,zero-shot,4,1,7,7
P08,avancado,gemma4,zero-shot,0,0,0,0
P08,avancado,gemma4,zero-shot,1,0,0,0
P08,avancado,gemma4,zero-shot,2,0,0,7
P08,avancado,gemma4,zero-shot,3,0,6,7
P08,avancado,gemma4,zero-shot,4,0,0,0
P09,avancado,gemma4,zero-shot,0,1,6,6
P09,avancado,gemma4,zero-shot,1,1,6,6
P09,avancado,gemma4,zero-shot,2,1,6,6
P09,avancado,gemma4,zero-shot,3,1,6,6
P09,avancado,gemma4,zero-shot,4,1,6,6
P10,avancado,gemma4,zero-shot,0,1,6,6
P10,avancado,gemma4,zero-shot,1,1,6,6
P10,avancado,gemma4,zero-shot,2,1,6,6
P10,avancado,gemma4,zero-shot,3,1,6,6
P10,avancado,gemma4,zero-shot,4,1,6,6
P01,basico,gemma4,few-shot,0,1,8,8
P01,basico,gemma4,few-shot,1,1,8,8
P01,basico,gemma4,few-shot,2,1,8,8
P01,basico,gemma4,few-shot,3,1,8,8
P01,basico,gemma4,few-shot,4,1,8,8
P02,basico,gemma4,few-shot,0,1,7,7
P02,basico,gemma4,few-shot,1,1,7,7
P02,basico,gemma4,few-shot,2,1,7,7
P02,basico,gemma4,few-shot,3,1,7,7
P02,basico,gemma4,few-shot,4,1,7,7
P03,basico,gemma4,few-shot,0,1,6,6
P03,basico,gemma4,few-shot,1,1,6,6
P03,basico,gemma4,few-shot,2,1,6,6
P03,basico,gemma4,few-shot,3,1,6,6
P03,basico,gemma4,few-shot,4,1,6,6
P04,intermediario,gemma4,few-shot,0,0,0,0
P04,intermediario,gemma4,few-shot,1,0,6,7
P04,intermediario,gemma4,few-shot,2,0,3,7
P04,intermediario,gemma4,few-shot,3,0,4,7
P04,intermediario,gemma4,few-shot,4,0,4,7
P05,intermediario,gemma4,few-shot,0,0,1,5
P05,intermediario,gemma4,few-shot,1,1,5,5
P05,intermediario,gemma4,few-shot,2,0,3,5
P05,intermediario,gemma4,few-shot,3,0,1,5
P05,intermediario,gemma4,few-shot,4,0,1,5
P06,intermediario,gemma4,few-shot,0,0,1,6
P06,intermediario,gemma4,few-shot,1,0,1,6
P06,intermediario,gemma4,few-shot,2,0,1,6
P06,intermediario,gemma4,few-shot,3,0,1,6
P06,intermediario,gemma4,few-shot,4,0,1,6
P07,intermediario,gemma4,few-shot,0,1,7,7
P07,intermediario,gemma4,few-shot,1,1,7,7
P07,intermediario,gemma4,few-shot,2,1,7,7
P07,intermediario,gemma4,few-shot,3,1,7,7
P07,intermediario,gemma4,few-shot,4,1,7,7
P08,avancado,gemma4,few-shot,0,0,3,7
P08,avancado,gemma4,few-shot,1,0,0,0
P08,avancado,gemma4,few-shot,2,0,0,7
P08,avancado,gemma4,few-shot,3,0,0,7
P08,avancado,gemma4,few-shot,4,0,0,7
P09,avancado,gemma4,few-shot,0,1,6,6
P09,avancado,gemma4,few-shot,1,1,6,6
P09,avancado,gemma4,few-shot,2,1,6,6
P09,avancado,gemma4,few-shot,3,1,6,6
P09,avancado,gemma4,few-shot,4,1,6,6
P10,avancado,gemma4,few-shot,0,1,6,6
P10,avancado,gemma4,few-shot,1,1,6,6
P10,avancado,gemma4,few-shot,2,1,6,6
P10,avancado,gemma4,few-shot,3,1,6,6
P10,avancado,gemma4,few-shot,4,1,6,6
